mat_size,memory,performance,info,permutation,optimization
1200,33750.0,426.854,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
30,21.094,3885.675,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
75,131.836,5349.267,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
200,937.5,6719.23,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
1200,33750.0,6541.119,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2']"
30,21.094,1486.781,['matmult_mnk'],mnk,"['-O3', '-funroll-loops']"
75,131.836,1678.163,['matmult_mnk'],mnk,"['-O3', '-funroll-loops']"
200,937.5,1311.061,['matmult_mnk'],mnk,"['-O3', '-funroll-loops']"
1200,33750.0,1174.969,['matmult_mnk'],mnk,"['-O3', '-funroll-loops']"
30,21.094,1438.324,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
75,131.836,1543.584,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
200,937.5,1019.324,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
1200,33750.0,425.603,['matmult_nkm'],nkm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
30,21.094,1204.747,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
75,131.836,1127.344,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
200,937.5,924.665,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
1200,33750.0,853.793,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
30,21.094,1460.855,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
75,131.836,1554.438,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
200,937.5,991.832,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
1200,33750.0,426.599,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
30,21.094,3239.795,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
75,131.836,4727.601,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
200,937.5,4141.403,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
1200,33750.0,4082.874,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations', '-mavx2', '-mtune=native']"
30,21.094,3859.688,['matmult_mkn'],mkn,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
